id_municipio;nombre_municipio;id_departamento
322;Caldono;9
323;Caloto;9
324;Corinto;9
325;El Tambo;9
326;Florencia;9
327;Guachené;9
328;Guapi;9
329;Inzá;9
330;Jambaló;9
331;La Sierra;9
332;La Vega;9
333;López;9
334;Mercaderes;9
335;Miranda;9
336;Morales;9
337;Padilla;9
338;Patía;9
339;Piamonte;9
340;Piendamó;9
341;Puerto Tejada;9
342;Puracé;9
343;Rosas;9
344;Santa Rosa;9
345;Silvia;9
346;Sotara;9
347;Suárez;9
348;Sucre;9
349;Timbío;9
350;Timbiquí;9
351;Toribio;9
352;Totoró;9
353;Villa Rica;9
354;Valledupar;18
355;Aguachica;18
356;Agustín Codazzi;18
357;Astrea;18
358;Becerril;18
359;Bosconia;18
360;Chimichagua;18
361;Chiriguaná;18
362;Curumaní;18
363;El Copey;18
364;El Paso;18
365;Gamarra;18
366;González;18
367;La Gloria;18
368;Manaure;18
369;Pailitas;18
370;Pelaya;18
371;Pueblo Bello;18
372;La Paz;18
373;San Alberto;18
374;San Diego;18
375;San Martín;18
376;Tamalameque;18
377;Montería;13
378;Ayapel;13
379;Buenavista;13
380;Canalete;13
381;Cereté;13
382;Chimá;13
383;Chinú;13
384;Cotorra;13
385;Lorica;13
386;Los Córdobas;13
387;Momil;13
388;Moñitos;13
389;Planeta Rica;13
390;Pueblo Nuevo;13
391;Puerto Escondido;13
392;Purísima;13
393;Sahagún;13
394;San Andrés Sotavento;13
395;San Antero;13
396;San Pelayo;13
397;Tierralta;13
398;Tuchín;13
399;Valencia;13
400;Anapoima;3
401;Arbeláez;3
402;Beltrán;3
403;Bituima;3
404;Bojacá;3
405;Cabrera;3
406;Cachipay;3
407;Cajicá;3
408;Caparrapí;3
409;Caqueza;3
410;Chaguaní;3
411;Chipaque;3
412;Choachí;3
413;Chocontá;3
414;Cogua;3
415;Cota;3
416;Cucunubá;3
417;El Colegio;3
418;El Rosal;3
419;Fomeque;3
420;Fosca;3
421;Funza;3
422;Fúquene;3
423;Gachala;3
424;Gachancipá;3
425;Gachetá;3
426;Girardot;3
427;Granada;3
428;Guachetá;3
429;Guaduas;3
430;Guasca;3
431;Guataquí;3
432;Guatavita;3
433;Guayabetal;3
434;Gutiérrez;3
435;Jerusalén;3
436;Junín;3
437;La Calera;3
438;La Mesa;3
439;La Palma;3
440;La Peña;3
441;La Vega;3
442;Lenguazaque;3
443;Macheta;3
444;Madrid;3
445;Manta;3
446;Medina;3
447;Mosquera;3
448;Nariño;3
449;Nemocón;3
450;Nilo;3
451;Nimaima;3
452;Nocaima;3
453;Venecia;3
454;Pacho;3
455;Paime;3
456;Pandi;3
457;Paratebueno;3
458;Pasca;3
459;Puerto Salgar;3
460;Pulí;3
